SegmentId;TargetPlatform;LandingOffset_m;LandingOffset_Forward_m;LandingOffset_Side_m;SafetyMargin_m;VerticalSpeed_mps;ApproachAngle_deg;MicroCorrections_0_5s;PreLandingHorizontalJitter;PostStabilizationTime_s;PostLandingDrift_m;LandingFailed;PostLandingFall;LandingType
LandingSegment_1;TargetAnchor1;1.850665;-1.675842;-0.785183;0.9963965;0;0;2;21.89632;0;3.086994;1;1;HitThenFall
LandingSegment_2;TargetAnchor2;23.94439;19.87418;13.35482;0;0;0;0;0;0;0;1;1;MissedPlatform_Fall
LandingSegment_3;TargetAnchor1;0.3499414;-0.03871155;-0.3477936;2.614222;0;0;1;6.475362;2.004835;2.950795;0;0;CleanLanding
LandingSegment_4;TargetAnchor2;1.259362;-1.140701;-0.5336609;2.38742;0;0;0;3.205187;2.030003;3.140174;0;0;CleanLanding
LandingSegment_5;TargetAnchor3;0.2120793;0.1837006;-0.1059799;2.912932;0;0;0;2.902139;1.725729;1.563183;0;0;CleanLanding
